Pos,Team,Players,Rating,Career Best Rating,event,type
1,BANGLADESH,Shakib AL HASAN,310,448 V ZIMBABWE AT CHITTAGONG 2009,ODI,All-Rounder
2,AFGHANISTAN,Mohammad NABI,297,350 V IRELAND AT GREATER NOIDA 2017,ODI,All-Rounder
3,ZIMBABWE,Sikandar RAZA,288,292 V SRI LANKA AT COLOMBO (RPS) 2024,ODI,All-Rounder
4,AFGHANISTAN,Rashid KHAN,265,351 V PAKISTAN AT ABU DHABI 2018,ODI,All-Rounder
5,PAPUA NEW GUINEA,Assad VALA,248,252 V NEPAL AT DUBAI 2023,ODI,All-Rounder
6,AUSTRALIA,Glenn MAXWELL,237,340 V ENGLAND AT HEADINGLEY 2015,ODI,All-Rounder
7,OMAN,Zeeshan MAQSOOD,235,262 V IRELAND AT BULAWAYO 2023,ODI,All-Rounder
8,NEW ZEALAND,Mitchell SANTNER,233,308 V ENGLAND AT CHRISTCHURCH 2018,ODI,All-Rounder
9,BANGLADESH,Mehidy HASAN,216,295 V INDIA AT MIRPUR 2022,ODI,All-Rounder
10,INDIA,Ravindra JADEJA,209,372 V ZIMBABWE AT BULAWAYO 2013,ODI,All-Rounder
11,AUSTRALIA,Josh HAZLEWOOD,209,216 V SOUTH AFRICA AT KOLKATA 2023,ODI,All-Rounder
12,SOUTH AFRICA,Marco JANSEN,209,246 V NEW ZEALAND AT PUNE 2023,ODI,All-Rounder
13,SCOTLAND,Michael LEASK,208,209 V NAMIBIA AT KIRTIPUR,ODI,All-Rounder
14,NEW ZEALAND,Rachin RAVINDRA,202,220 V SRI LANKA AT BENGALURU 2023,ODI,All-Rounder
15,ENGLAND,Chris WOAKES,194,307 V NEW ZEALAND AT CHRISTCHURCH 2018,ODI,All-Rounder
16,SCOTLAND,Mark WATT,194,201 V ZIMBABWE AT BULAWAYO 2023,ODI,All-Rounder
17,SRI LANKA,Wanindu HASARANGA,187,252 V OMAN AT BULAWAYO 2023,ODI,All-Rounder
18,AUSTRALIA,Sean ABBOTT,185,185 V WEST INDIES AT CANBERRA 2024,ODI,All-Rounder
19,INDIA,Hardik PANDYA,185,253 V SOUTH AFRICA AT CENTURION 2018,ODI,All-Rounder
20,SCOTLAND,Brandon MCMULLEN,185,185 V NETHERLANDS AT BULAWAYO 2023,ODI,All-Rounder
21,IRELAND,Mark ADAIR,183,183 V ZIMBABWE AT HARARE 2023,ODI,All-Rounder
22,PAKISTAN,Shaheen AFRIDI,178,180 V BANGLADESH AT KOLKATA 2023,ODI,All-Rounder
23,NAMIBIA,Gerhard ERASMUS,178,178 V CANADA AT NAMIBIA 2023,ODI,All-Rounder
24,PAKISTAN,Shadab KHAN,176,221 V NETHERLANDS AT ROTTERDAM 2022,ODI,All-Rounder
25,ENGLAND,Adil RASHID,175,251 V SRI LANKA AT PALLEKELE 2018,ODI,All-Rounder
26,IRELAND,Andy MCBRINE,175,218 V NEW ZEALAND AT MALAHIDE 2022,ODI,All-Rounder
27,USA,Steven TAYLOR,175,199 V PAPUA NEW GUINEA AT NAMIBIA 2022,ODI,All-Rounder
28,IRELAND,Curtis CAMPHER,174,174 V ZIMBABWE AT HARARE 2023,ODI,All-Rounder
29,ZIMBABWE,Sean WILLIAMS,173,238 V PAKISTAN AT RAWALPINDI 2020,ODI,All-Rounder
30,SRI LANKA,Maheesh THEEKSHANA,173,173 V ZIMBABWE AT COLOMBO (RPS) 2024,ODI,All-Rounder
31,AFGHANISTAN,Mujeeb UR RAHMAN,171,176 V ENGLAND AT DELHI 2023,ODI,All-Rounder
32,SOUTH AFRICA,Aiden MARKRAM,170,180 V AUSTRALIA AT POTCHEFSTROOM 2023,ODI,All-Rounder
33,ENGLAND,Moeen ALI,165,302 V AUSTRALIA AT OLD TRAFFORD 2018,ODI,All-Rounder
34,NETHERLANDS,Logan VAN BEEK,164,178 V BANGLADESH AT KOLKATA 2023,ODI,All-Rounder
35,NETHERLANDS,Bas DE LEEDE,163,171 V SOUTH AFRICA AT DHARAMSALA 2023,ODI,All-Rounder
36,SOUTH AFRICA,Keshav MAHARAJ,162,169 V AUSTRALIA AT KOLKATA 2023,ODI,All-Rounder
37,SRI LANKA,Dhananjaya DE SILVA,161,228 V AFGHANISTAN AT HAMBANTOTA 2023,ODI,All-Rounder
38,NEPAL,Dipendra SINGH AIREE,161,172 V UNITED ARAB EMIRATES AT HARARE 2023,ODI,All-Rounder
39,WEST INDIES,Alzarri JOSEPH,160,209 V SOUTH AFRICA AT POTCHEFSTROOM 2023,ODI,All-Rounder
40,OMAN,Ayaan KHAN,160,161 V NETHERLANDS AT HARARE 2023,ODI,All-Rounder
41,UNITED ARAB EMIRATES,Aayan KHAN,159,167 V SCOTLAND AT BULAWAYO 2023,ODI,All-Rounder
42,SOUTH AFRICA,Kagiso RABADA,158,215 V INDIA AT SOUTHAMPTON 2019,ODI,All-Rounder
43,INDIA,Kuldeep YADAV,158,214 V NEW ZEALAND AT BAY OVAL 2019,ODI,All-Rounder
44,UNITED ARAB EMIRATES,Rohan MUSTAFA,155,211 V NEPAL AT DUBAI 2022,ODI,All-Rounder
45,NAMIBIA,Bernard SCHOLTZ,154,155 V UNITED ARAB EMIRATES AT NAMIBIA 2023,ODI,All-Rounder
46,PAKISTAN,Iftikhar AHMED,153,153 V ENGLAND AT KOLKATA 2023,ODI,All-Rounder
47,AUSTRALIA,Adam ZAMPA,152,152 V WEST INDIES AT CANBERRA 2024,ODI,All-Rounder
48,INDIA,Mohammed SIRAJ,146,155 V AUSTRALIA AT AHMEDABAD 2023,ODI,All-Rounder
49,IRELAND,George DOCKRELL,145,170 V ZIMBABWE AT HOBART 2015,ODI,All-Rounder
50,SCOTLAND,Safyaan SHARIF,145,158 V NAMIBIA AT KIRTIPUR,ODI,All-Rounder
51,NEPAL,Sandeep LAMICHHANE,144,155 V IRELAND AT HARARE 2023,ODI,All-Rounder
52,NAMIBIA,JJ SMIT,143,178 V NEPAL AT NAMIBIA 2022,ODI,All-Rounder
53,AUSTRALIA,Mitchell MARSH,142,313 V NEW ZEALAND AT CANBERRA 2016,ODI,All-Rounder
54,WEST INDIES,Jason HOLDER,141,309 V ZIMBABWE AT HARARE 2018,ODI,All-Rounder
55,ENGLAND,Sam CURRAN,140,161 V NEW ZEALAND AT LORD'S 2023,ODI,All-Rounder
