POS,Player,TEAM,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Shubman Gill,GT,17,17,2,890,129,59.33,564,157.80,3,4,85,33
2,Faf Du Plessis,RCB,14,14,1,730,84,56.15,475,153.68,0,8,60,36
3,Devon Conway,CSK,16,15,2,672,92*,51.69,481,139.70,0,6,77,18
4,Virat Kohli,RCB,14,14,2,639,101*,53.25,457,139.82,2,6,65,16
5,Yashasvi Jaiswal,RR,14,14,1,625,124,48.08,382,163.61,1,5,82,26
6,Suryakumar Yadav,MI,16,16,2,605,103*,43.21,334,181.13,1,5,65,28
7,Ruturaj Gaikwad,CSK,16,15,1,590,92,42.14,400,147.50,0,4,46,30
8,David Warner,DC,14,14,0,516,86,36.86,392,131.63,0,6,69,10
9,Rinku Singh,KKR,14,14,6,474,67*,59.25,317,149.52,0,4,31,29
10,Ishan Kishan,MI,15,15,0,454,75,30.27,318,142.76,0,3,54,18
11,Cameron Green,MI,16,16,7,452,100*,50.22,282,160.28,1,2,40,22
12,Heinrich Klaasen,SRH,12,11,2,448,104,49.78,253,177.07,1,2,32,25
13,Shivam Dube,CSK,16,14,3,418,52,38.00,264,158.33,0,3,12,35
14,Nitish Rana,KKR,14,14,1,413,75,31.77,293,140.95,0,3,39,20
15,Marcus Stoinis,LSG,15,15,2,408,89*,31.38,272,150.00,0,3,28,27
16,Venkatesh Iyer,KKR,14,14,0,404,104,28.86,277,145.84,1,2,32,21
17,Glenn Maxwell,RCB,14,14,2,400,77,33.33,218,183.48,0,5,29,31
18,Jos Buttler,RR,14,14,0,392,95,28.00,282,139.00,0,4,42,14
19,Kyle Mayers,LSG,13,13,0,379,73,29.15,263,144.10,0,4,38,22
20,Shikhar Dhawan,PBKS,11,11,2,373,99*,41.44,261,142.91,0,3,49,12
21,Wriddhiman Saha,GT,17,17,1,371,81,23.19,287,129.26,0,2,47,8
22,Sanju Samson,RR,14,14,2,362,66*,30.17,236,153.38,0,3,25,24
23,Sai Sudharsan,GT,8,8,1,362,96,51.71,256,141.40,0,3,33,12
24,Nicholas Pooran,LSG,15,15,3,358,62,29.83,207,172.94,0,2,26,26
25,Simran Singh,PBKS,14,14,0,358,103,25.57,238,150.42,1,1,38,19
26,Hardik Pandya,GT,16,15,4,346,66,31.45,253,136.75,0,2,26,15
27,Tilak Varma,MI,11,11,3,343,84*,42.88,209,164.11,0,1,26,23
28,Rohit Sharma,MI,16,16,0,332,65,20.75,250,132.80,0,2,35,17
29,Ajinkya Rahane,CSK,14,11,1,326,71*,32.60,189,172.48,0,2,24,16
30,Jitesh Sharma,PBKS,14,14,1,309,49*,23.77,198,156.06,0,0,22,21
31,Vijay Shankar,GT,14,10,2,301,63*,37.63,188,160.10,0,3,27,15
32,Shimron Hetmyer,RR,14,13,5,300,56*,37.50,197,152.28,0,1,12,23
